,0
10,"When I was just a little boy, when I didn't know  
My daddy put me n his knee and showed me the way to go  
He said ""a woman will do her best to make a fool out of you  
So be a man and stand the test and see what you can do""  
  
I'm glad I am born a man  
I'm glad I am born a man  
  
If you got what it takes my boy  
You can always choose  
Work it out before it's too late my boy  
Make sure you never lose  
  
I'm glad I am born a man  
I'm glad I am born a man  
  
Born a man  
  
Every woman wants her man to live and learn on her land  
Where I go, baby you go  
Arrangement, man and wife  
  
I'm glad I am born a man  
I'm glad I am born a man  
  
Born a man

"
11,"I left the only folks I had known  
I was fifteen then , hardly grown  
When they found me in the swamp face down in the mud  
Couldn't get back and I couldn't go far  
Said to myself stay right where you are  
Done found yourself a Ma and Pa  
Ev'rybody said the kid's no good  
  
Come Home Johnny Bride come home  
Johnny Bride come home  
We're all wrong without you  
How did we ever doubt you  
He confessed to the killing  
It's his role we had you filling  
We didn't really mean to make you sad  
But when you ran you made us think that you were twice as bad  
  
(repeat last verse and fade out about line 6)

"
12,"Look at me, I don't know what I'm doin'  
ever since I looked at you  
How did I get this crazy feelin'  
Could it be, I'm in love with you  
  
Ever since I saw you in the moonlight  
I've had this feeling through and through  
Since that time, I haven't done a thing right  
Could it be, I'm in love with you  
  
Golly gee, I don't know where I'm goin'  
I'm tryin' to make you see  
Oh boy, I got to make her fall in love with me, oh  
  
Night after night, I'm always dreamin'  
Why don't you make those dreams come true  
Can't you see how much I really love you  
Why don't you learn to love me too  
  
Golly gee, I don't know where I'm goin'  
I'm tryin' to make you see  
Oh boy, I got to make her fall in love with me  
  
Night after night, I'm always dreamin'  
Why don't you make those dreams come true  
Can't you see how much I really love you  
Why don't you learn to love me too  
Love me too  
Love me too

"
13,"I don't know what you want, I don't hear what you said.  
Truth behind the lies.  
'Cause I can't see what's in your head.  
And spread your wings and fly, out in a brave new world.  
Let this be my prayer, to keep you safe when I'm not there.  
  
Can we love and live apart?  
I don't know, no, I don't know.  
How can we divide the heart?  
I don't know, no, I don't know.  
  
And when the night falls, and when the sky falls,  
I long for your embrace.  
And in the cold night, under the street light,  
I long for your embrace.  
  
Living separate lives, I have faith in you, away from you (I have faith).  
Like a lonely child, I will hang on every word.  
Embrace.  
  
Through the mists of time, lovers can be friends.  
The power of the human heart.  
The secrets in the souls of men.  
All my blessings in disguise.  
I don't know, no, I don't know.  
Reunited we will rise.  
I don't know, no, I don't know.  
  
And when the night falls, and when the sky falls,  
I long for your embrace.  
And in the cold night, under the street light,  
I long for your embrace.  
  
Living separate lives, I have faith in you, away from you (I have faith).  
Like a lonely child, I will hang on every word.  
  
And when the night falls, and when the sky falls,  
I long for your embrace.  
Another daybreak, another heartache,  
I long for your embrace.  
  
Living separate lives,  
Away from you.  
Embrace, embrace.  
The lonely, lonely life.  
Lonely days and nights (away from you).  
We can live our life  
(embrace, embrace)  
With our separate lives.  
Embrace, embrace.  
The lonely, lonely lives.  
Lonely days and nights.  
I will never send away.  
Embrace, embrace.  
The lonely, lonely lives.  
Embrace the child inside  
The lonely, lonely lives.

"
14,"Dark is the night, high is the fire,  
Touches the sky, love with no shape or form.  
I am in your mind's eye, just let your dreams run wild.  
  
Somewhere, out across the nation,  
Someone, waiting in the shadows,  
Listen, I don't want to hear  
""return to sender""  
Calling. I can see the future,  
Someday, signal with a single motion  
Show me you believe in someone, somewhere.  
  
Oh baby, you give me,  
You give me the runaround,  
Just another night with you,  
You're on my mind.  
And we got love,  
And love'll take you higher and higher and higher,  
Higher and higher.  
  
E. S. P.  
I communicate with you,  
Tell me what it means to feel,  
What am I supposed to do.  
E. S. P.  
Nothing any words can say,  
Nothing that we know is real,  
But it'll take your breath away,  
Your breath away.  
  
Danger, suddenly an early warning,  
Suddenly the soul is burning,  
But I still believe in someone, somewhere.  
  
Baby, you give me,  
You give me the runaround,  
Just another night with you,  
I'm in your mind.  
And we got love,  
And love'll take you higher and higher and higher,  
Higher and higher.  
  
E. S. P.  
I communicate with you,  
Tell me what it means to feel,  
What am I supposed to do  
E. S. P.  
And love'll take you higher and higher and higher,  
Higher and higher.  
Be prepared to make your sacrifice, tonight,  
Far beyond the point of no return, oh no.  
And we got love,  
And love'll take you higher and higher and higher,  
Higher and higher, higher and higher,  
Higher and higher, higher and higher.  
  
Oh, oh, oh,  
What am I supposed to do,  
Supposed to do.  
Oh, oh, oh,  
But it'll take your breath away,  
Your breath away.  
  
E. S. P.  
I communicate with you,  
Tell me what it means to feel,  
What am I supposed to do,  
Supposed to do.  
E. S. P.  
Nothing any words can say,  
Nothing that we know is real,  
But it'll take your breath away,  
Your breath, your breath away.  
E.S.P.  
Nothing any words can say,  
Nothing that we know is real,  
But it'll take your breath away.

"
15,"Send out your invitations  
There's gonna be a party goin' on  
We'll meet you at the station  
You know the race has just begun  
If you don't know that I was born to hold you  
Then I'm gonna tell ya loud and clear 'baby I love ya'  
Ev'ry second, ev'ry minute, ev'ry hour, ev'ry day of ev'ry year, now  
  
We're gonna climb a mountain  
No one is gonna stop me now  
My love is like a fountain  
I'll take your hand and show you how  
If you don't think that I was born to hold you  
Then I'm gonna shout it loud and clear ' baby I love ya'  
Ev'ry second, ev'ry minute, ev'ry hour,ev'ry day of ev'ry year  
  
Send our your invitation  
There's gonna be a party goin' on  
We'll meet you at the station  
You know the race has just begun  
If you don't know that I was born to hold you  
Then I'm gonna tell ya loud and clear' baby I love ya'  
Ev'ry second, ev'ry minute, ev'ry hour , ev'ry day of ev'ry year  
Ev'ry second, ev'ry minute, ev'ry hour, ev'ry day of ev'ry year  
Ev'ry second, ev'ry minute  
Ev'ry second, ev'ry minute (repeat line and fade out)

"
16,"First I rise, then I fall  
Seems like you don't want the love  
Of this man at all  
And it's sure been a lonely time  
Right up to the time I met you  
So if you take a love like mine  
  
Be tender with my love  
You know how easy it is to hurt me  
Fanny, be tender with my love,  
'Cause it's all that I've got  
And my love won't desert me  
  
So you say to yourself, boy,  
You're out of your brain  
Do you think I'm gonna stand here  
All night in the rain?  
And it's the start of a love affair  
The moment when I first met you  
And if you want I'll take you there  
  
Be tender with my love  
You know how easy it is to break it  
Fanny, be tender with my love  
'Cause it's all that I've got  
And my love won't forsake me.  
  
With my love,  
Our love will seal it together.  
Oh, with our love,  
You made a promise  
You'll always love me forever.  
  
Be tender with my love  
You know how easy it is to break it  
Fanny, be tender with my love,  
'Cause it's all that I've got  
And my love won't forsake me.  
  
Be tender with my love  
You know how easy it is to break it  
Fanny, be tender with my love,  
'Cause it's all that I've got  
And my love won't forsake me.  
  
Be tender with my love  
You know how easy it is to hurt me  
Fanny, be tender with my love,  
'Cause it's all that I've got  
And my love won't desert me  
  
Be tender with my love  
You know how easy it is to break it  
Fanny, be tender with my love  
'Cause it's all that I've got  
And my love won't desert me  
  
Be tender with my love  
You know how easy it is to hurt me  
Fanny, be tender with my love

"
17,"I'm so weary from holding this load  
But it's only, love for you, that I walk this lonely road  
I must follow the wind, follow the wind  
And the wind will take me hold before the cold  
  
Every stay I have counted  
Each flower I have seen  
But the place where I'm going, there's no grass as green  
I must follow the wind, follow the wind  
And the wind will take me home where I can dream  
  
In the hour I am lonely, you're love will be mine  
I will stay in your arms dear, until comes the time  
I must be on my way for my home is anywhere  
I have no time to stay, I have no time to care  
I must follow the wind, follow the wind  
As the wind gently blows in my hair  
  
I must follow the wind, follow the wind  
As the wind gently blows in my hair  
I must follow the wind, follow the wind  
As the wind gently blows in my hair

"
18,"Take me to your world of wonder  
Let me come inside your room  
Invisible  
Now you see nothin'  
Some investigation as to the state of us  
No misunderstanding girl  
On either side  
  
I couldn't lie if I try any other way  
I can't stop thinking of that girl of mine  
I'm for the rise and the fall  
Any other way and  
  
[Chorus:]  
Oh  
Ride on my ghost train  
Oh  
You shouldn't do it, you shouldn't do it  
Oh  
Ride on my ghost train  
Oh  
Who can stop your past from rushing by  
Born to live one million stories high  
Into the night  
Into the day  
  
Take me to a town or country  
Stranger in a strange land  
And I'm an alien  
No you can't find me  
You be there at the station  
When the train arrives  
When it leaves I get my hands on you  
  
I fool myself if I turn any other way  
I still keep searchin' for that girl of mine  
I'm for the hell of it all  
  
Do it anyway and  
  
Oh  
Ride on my ghost train  
Oh  
Hearts can break and hearts can  
Turn the tide  
All is love and love is open wide  
Ghost train  
Ghost train  
Into the night  
Into the day

"
19,"I know that you want a man  
To love you like no other can  
Here I am , here I am  
I know that you want a boy  
To fill your lonely heart with joy  
Here I am , here I am  
I'm gonna prove that my love was made for only you  
If you don't believe me ,watch and you'll see me  
Make you love me too  
I know that you want a boy  
To fill your lonely heart with joy  
Here I am , here I am  
(break)  
Here I am , here I am  
(break)  
Here I am , here I am  
I'm gonna prove that my love was made for only you  
If you don't believe me , watch and you'll see me  
Make you love me too  
I know that you want a boy  
To fill your lonely heart with joy  
Here I am , here I am  
Here I am , here I am  

"
20,"Cryin' in the streets  
They run for their lives  
How can you lead them to heaven  
They don't realize  
Children of the night  
How far can we fall  
That which we say is forever  
Ain't no time at all  
  
Father and the son  
Not too young to be old  
Reach out for each other when  
The world goes cold  
Feel so good to be home  
Are you ready for  
  
[Chorus:]  
My high civilization  
Are you ready for  
My high civilization  
Are you ready for  
My high civilization  
Civilization  
  
Everything for us to see  
The ultimate society  
  
Keeper of the sword  
You fight for your rights  
How can you live for the hour  
When there's no yesterday  
Dyin' in the streets  
Your number your name  
All that which keeps us together  
Is bringing us the pain  
  
Thunder of the guns  
Comes the criminal mind  
Working for the power of  
The evil eye  
We are never alone  
Uncivilized  
  
[Chorus]  
  
New York, Paris, Tokyo  
Vienna to Berlin  
Baby don't know you  
L.A., Rome, Afghanistan  
Cairo to Iran  
No city can hold you  
There's no one in Avalon to show you  
Minutes into seconds are you ready  
For the end  
  
[Chorus]

"
21,"I don't believe in love  
Im not afraid of the night  
People who follow their hearts survive  
  
Don't need the chains of life  
I am no refugee  
They say that the eyes of the soul surrender  
  
Give me little lovin , can we set the world alight  
Evry thing I wanted walking right beside me ,baby  
When I think Im losin , I just look at you and  
  
Baby , I believe in miracles  
Burnin through the night  
Shinin with the power of lightning , so exciting  
Im on a journey , I don't know if I can make it on my own  
  
Baby , I believe in miracles  
Destination , your desire  
And baby , oh sweet baby  
  
I can't agree with war  
Its not important to me  
The stranger that stands in the wind survives  
  
Give me little lovin , can we set the world ali ght  
Evry thing I wanted walking right beside me baby  
When I think Im losin , I just look at you and  
  
Baby , I believe in miracles  
Burnin through the night  
Shinin with the power of lightning , so exciting  
Im on a journey , I don't know if I can make it on my own  
  
Baby , I believe in miracles  
Burnin through the night  
Shinin with the power of lightning , so exciting  
Im on a journey , I don't now if I can make it on my own  
  
Baby , I believe in miracles  
Destination , your desire  
Shinin with the power of lightning , so exciting  
Im on a journey , I don't know if I can make it on my own

"
22,"I can make the sun shine out of the heavens  
Sweet love, love you forever  
Just wait until the sun's on your pillow  
I can bring love 'cause that's all I've got  
I can bring love 'cause that's all I've got  
  
I can change the whole world if you are near me  
No tears if you can hear me  
Just wait until the sun's on your pillow  
I can bring love 'cause that's all I've got  
I can bring love 'cause that's all I've got, yeah  
  
Ah  
Just wait until the sun's on your pillow  
I can bring love 'cause that's all I've got  
I can bring love 'cause that's all I've got  
I can bring love 'cause that's all I've got

"
23,"Do you love me women , truly do ya?  
Can you feel this feeling going through ya?  
Are you of the mind that we should live together through this night?  
Or tell me you're my virgin queen and it may not be right.  
  
But don't make me say , i can't let you go  
And it's breaking me down  
Just thinking of your face and it won't be around  
Just look at me now  
I feel a stranger inside , stealing my pride  
I can't let you go  
And it's breaking me down 'cause you won't be around  
  
When all this world of ours is falling apart  
I'll keep on hanging on and fixing my heart  
'Cause ev'ryone is just like me they're praying in the sun  
And i may be that lucky man surviving when they're gone  
  
But don't make me say , i can't let you go  
And it's breaking me down  
Just thinking of your face and it won't be around  
Just look at me now  
I feel a stranger inside , stealing my pride  
I can't let you go  
And it's breaking me down 'cause you won't be around  
Just look at me now  
I feel a stranger inside , stealing my pride  
I can't let you , can't let you go  
And it's breaking my down 'cause you won't be around  
  
Just look at me now , i can't let you go  
Just look at me now , i can't let you go  
Just look at me now , i can't let you go  
Just look at me now , i can't let you go (fade out)

"
24,"Close your eyes do what you wanna  
Baby how can I wait much longer  
Make it hard to believe it happened to me  
Morning comes too late tomorrow  
All you lose is the dream you borrow  
All you got is a soul that's born to be free  
and cries to the wind  
Waiting for you  
My dream will find you someday  
I stand beside my vision of you  
And have you loving me  
  
I still love you  
I still love you  
  
Though you're my imagination  
You be there when we find salvation  
Only then will there be no reason to hide  
Stormy night out in the heaven  
I believe in the true forever  
There's a bright new star when somebody dies  
I cry to the wind  
Waiting for you  
Sweet love returning someday  
The day you learn love happened to you  
You will be here with me  
  
I still love you  
I still love you  
  
I'll be waiting for you  
Sweet love returning someday  
The day you learn love happened to you  
You will be here with me  
  
I still love you  
I still love you  
I still [Repeats]

"
25,"When I was you we walked to school  
And I carried your books 'cause even then I was a fool  
But you grew up and said goodbye  
I still remember the things that made me cry  
  
For all too soon my story ends  
I found a love, now not even friends  
Tell me why  
Loving you , loving me like you used to do  
I was the child  
  
I held your hand and I told you things  
And I made you believe, believe in fairy tales  
And diamond rings  
  
Hen all too soon my story ends  
I found a love ,now not even friends  
Tell me why  
Loving you , loving me like you used to do  
I was the child  
Ah...

"
26,"When I wake up in the morning  
There's something on my mind  
And suddenly without warning  
Somebody's standing behind  
And it's you , babe  
And it's you , babe  
  
If I were the sky , I could look down onto you  
That one day , if you join me , ev'ry sky will be blue  
Ev'ry day with you  
  
You know I still think you owe me  
I dream ev'ry night that you do  
So what is it that's making me lonely  
I've known all along what it is  
And it's you , babe  
And it's you , babe  
  
If I were the sky , I could look down onto you  
That one day , if you join me , ev'ry sky will be blue  
Ev'ry day with you  
  
If I were the sky , I could look down onto you  
That one day , if you join me , ev'ry sky will be blue  
Ev'ry day with you  
With you  
With you

"
27,"With you , baby I'm satisfied , making my love to you  
'Cause you got me hypnotized  
And you came to me alone girl  
I was a heart that's made of stone girl  
  
And you broke it down in pieces  
And you took me for your own girl  
I lie beneath your ecstasy  
You can pour it all over me  
  
I won't break the chains of loving you  
We got everything , anybody needs  
And it's here with me ,with you  
Baby I'm satisfied , makin' my love to you  
  
(Makin' my love , makin' my love)  
'Cause you got me hypnotized  
Before you took me by the hand girl  
I was a statue in the sand girl  
  
I was broken down for reasons  
You could never understand girl  
I was living on desire  
But that was just the way we were  
  
'Til you make a world of love in you  
We got everything , anybody needs  
And it's here with me , with you  
Baby I'm satisfied , making my love to you  
  
'Cause you got me hypnotized  
Anytime you wander, get yourself back to me girl  
Any cloud you're under , you got to get yourself free girl  
Ahh, ahh, baby with you  
  
Baby I'm satisfied , making' my love to you  
'Cause you got me hypnotized , oh baby , with you [Repeat]

"
28,"Baby when I met you there was peace unknown  
I set out to get you with a fine tooth comb  
I was soft inside  
There was something going on  
You do something to me that I can't explain  
Hold me closer and I feel no pain  
Every beat of my heart  
We got something going on  
Tender love is blind  
It requires a dedication  
All this love we feel needs no conversation  
We can ride it together, ah ha  
Making love with each other, ah ha  
  
Islands in the stream  
That is what we are  
No one in between  
How can we be wrong  
Sail away with me  
To another world  
And we rely on each other, ah ha  
From one lover to another, ah ha  
  
I can't live without you if the love was gone  
Everything is nothing when you got no one  
And you walk in the night  
Slowly losing sight of the real thing  
But that won't happen to us and we got no doubt  
Too deep in love and we got no way out  
And the message is clear  
This could be the year for the real thing  
No more will you cry  
Baby I will hurt you never  
We start and end as one  
In love forever  
We can ride it together, ah ha  
Making love with each other, ah ha  
  
Islands in the stream  
That is what we are  
No one in between  
How can we be wrong  
Sail away with me  
To another world  
And we rely on each other, ah ha  
From one lover to another, ah ha

"
29,"You've had your troubles Israel  
I've seen them all  
But you put the writing on the wall  
Israel Israel yeah  
  
You know I've seen you fall so many times  
I've cried for you and that's a crime  
Israel Israel Israel  
  
Where there's sand  
Where there's beautiful sand yeah  
You know you got a kind of feeling  
That's just grand  
Take me into your arms  
Let me be with you  
Israel Israel Israel  
  
I like the smiles up on your people's faces  
They make you feel warm embraces  
And I want that kind of smile  
that kind of smile  
Israel you make the whole world think about you  
And if they don't they'll find a reason  
to shout about Israel Israel  
  
You're the only one Israel Israel  
Tell me all about it!  
Tell me all about it  
Tell me all about it  
Oh take me into your arms  
And make me feel your goodness  
Be with me Israel  
Hey hey hey hey  
Oh oh oh  
Take me into your arms  
Let me hold hold you to myself  
Oh I want to Israel  
  
Israel Oh take me back into into your arms  
Israel Israel Israel Israel  
Israel

"
30,"It's just the way that I feel about tomorrow  
I'll be sad and alone all the time  
It's just the way that you said you don't love me anymore, then 'Goodbye'  
I can't believe what you're saying  
You don't love me anymore, 'Goodbye'  
  
Just the way that I feel about tomorrow  
Knowing you won't be there by my side  
I wish that I could say to you: well, can't we just be good friends?  
Would you leave the door open, let me walk in again?  
  
That's the way I been thinking 'bout tomorrow  
I only know that friends can't be lovers again

"
